Timestamp,Turn,Phase,Speaker,ActionType,P_WantTalk,Text
18:11:16,0,SETUP,AI,,0.50,"こんにちは。たくさんお話しできたら嬉しいです！"
18:11:22,1,SETUP,User,NORMAL,0.33,"こんにちは。"
18:11:31,1,INTRO,AI,,0.33,"こんにちは！今日はいい気分ですか？それとも少しお疲れ気味ですか？"
18:11:41,2,INTRO,User,DISCLOSURE,0.87,"ちょっとずっと作業してて、疲れ気味です。"
18:11:59,2,SURROUNDINGS,AI,,0.87,"お疲れさまです。カフェのような場所で、いろんな人が集まっている感じですね。フード付きのシャツを着た男性とパイプを持っている男性が話しているのはなぜだと思いますか？"
18:12:11,3,SURROUNDINGS,User,NORMAL,0.76,"ん？なんでだろうね。俺もよくわかんないかな。"
18:12:30,3,BRIDGE,AI,,0.76,"不思議な雰囲気の絵ですね。みんなカウンターに集まっている様子が、何か深い話をしているようにも見えます。あなたなら、この場面でどんな会話をしてみたいですか？"
18:12:40,4,BRIDGE,User,NORMAL,0.62,"そうだね。まあ最近のニュースとかの話かな。"
18:13:02,4,BRIDGE,AI,,0.62,"なるほど、最近のニュースを話題にするのは自然ですね。この描かれている場面、ちょっとミステリアスな雰囲気がありますね。もしあなたがこの場にいたら、どんなニュースを話題にしますか？"
18:13:07,5,BRIDGE,User,SILENCE,0.27,"(沈黙)"
