Timestamp,Turn,Phase,Speaker,ActionType,P_WantTalk,Text
16:39:20,0,SETUP,AI,,0.50,"こんにちは。たくさんお話しできたら嬉しいです！"
16:39:56,1,SETUP,User,NORMAL,0.37,"こんにちは"
16:39:58,1,INTRO,AI,,0.37,"こんにちは！今日はどんな気分で過ごしていますか？"
16:40:11,2,INTRO,User,NORMAL,0.26,"普通の気分ですね"
16:40:17,2,SURROUNDINGS,AI,,0.26,"おしゃれなカフェのような雰囲気ですね！帽子をかぶった人が印象的です。ところで、こういう場所でコーヒーを飲むのは好きですか？"
16:40:35,3,SURROUNDINGS,User,DISCLOSURE,0.78,"好きです"
16:40:39,3,BRIDGE,AI,,0.78,"素敵な雰囲気のカフェですね！静かにコーヒーを楽しむのにぴったりの場所に見えます。こういうカフェで何か特別な思い出がありますか？"
16:41:45,4,BRIDGE,User,NORMAL,0.68,"特にないですかね"
16:41:53,4,BRIDGE,AI,,0.68,"特に思い出がなくても、こういう場所でのんびり過ごすのは素敵ですよね。この絵のようなカフェで、どんなコーヒーを飲んでみたいですか？"
16:42:24,5,BRIDGE,User,NORMAL,0.56,"温かいコーヒーがいいかな"
16:42:31,5,BRIDGE,AI,,0.56,"温かいコーヒー、ほっとしますよね。こういうカフェで飲むと、さらに雰囲気が良さそうです。お店のカウンター席でゆっくり過ごすのも楽しそうですね！"
