Timestamp,Turn,Phase,Speaker,ActionType,P_WantTalk,Text
16:26:13,0,SETUP,AI,,0.50,"こんにちは。たくさんお話しできたら嬉しいです！"
16:26:18,1,SETUP,User,NORMAL,0.37,"こんにちは"
16:26:19,1,INTRO,AI,,0.37,"こんにちは！今日はどんな気分で過ごしていますか？"
16:26:24,2,INTRO,User,NORMAL,0.11,"うん"
16:26:27,2,SURROUNDINGS,AI,,0.11,"喫茶店のような場所ですね！なんだか落ち着いた雰囲気が伝わってきます。コーヒーや紅茶、どちらがお好きですか？"
16:26:44,3,SURROUNDINGS,User,NORMAL,0.03,"うん"
16:26:49,3,BRIDGE,AI,,0.03,"これはカフェのような風景ですね！おしゃべりしたり、コーヒーを楽しむ雰囲気が感じられます。カフェで過ごすのは好きですか？"
16:27:21,4,BRIDGE,User,NORMAL,0.02,"まあまあかな"
16:27:26,4,BRIDGE,AI,,0.02,"カフェのカウンターですね。こういう場所だと静かに過ごしたり、軽い会話を楽しむのもいいですね。温かい飲み物だと何が好きですか？"
16:27:50,5,BRIDGE,User,NORMAL,0.00,"うーん"
16:27:56,5,SURROUNDINGS,AI,,0.00,"カフェのカウンターの様子ですね。お客さん同士が静かに過ごしている感じでしょうか。こういう場所で飲むなら、コーヒーと紅茶どちらを選びますか？"
