Timestamp,Turn,Phase,Speaker,ActionType,P_WantTalk,Text
10:44:06,0,SETUP,AI,,0.50,"こんにちは。たくさんお話しできたら嬉しいです！"
10:44:13,1,SETUP,User,NORMAL,0.40,"こんにちは。"
10:44:19,1,INTRO,AI,,0.40,"こんにちは！今日はどんな気分ですか？"
10:44:28,2,INTRO,User,NORMAL,0.31,"今日はまあ、いつもと変わらず普通の気分ですね。"
10:44:49,2,SURROUNDINGS,AI,,0.31,"なるほど、穏やかな気分で過ごせるのはいいですね！   ところでこの画像、カウンターで会話している様子が描かれていますね。なぜフード付きのシャツを着た男性とパイプを持っている男性が話していると思いますか？"
10:44:58,3,SURROUNDINGS,User,NORMAL,0.23,"うん、なんでだろうね。僕にはちょっとわかんないな。"
10:45:15,3,BRIDGE,AI,,0.23,"そうですね、なんだか不思議な雰囲気ですね。カウンターの上にコーヒーカップがあるので、喫茶店のような場所かもしれませんね。カフェはよく行きますか？"
10:45:26,4,BRIDGE,User,DISCLOSURE,0.43,"ハイ。カフェには結構いきますね。"
10:45:40,4,DEEP_DIVE,AI,,0.43,"そうなんですね！カフェで過ごす時間って落ち着きますよね。よく注文するお気に入りの飲み物や食べ物はありますか？"
10:45:52,5,DEEP_DIVE,User,NORMAL,0.33,"そうですね。まあ、僕はコーヒーとかをよく。ええ、頼みますね。"
10:46:08,5,DEEP_DIVE,AI,,0.33,"コーヒーをよく頼むんですね。香りや味わいが魅力ですよね！コーヒーを飲んでいるとき、どんなことを考えることが多いですか？"
10:46:20,6,DEEP_DIVE,User,DISCLOSURE,0.55,"うん、まあ落ち着いた感じで。そうだな。ボーっとするのも多いかな。"
10:46:36,6,DEEP_DIVE,AI,,0.55,"落ち着いた気分でボーっとする時間、いいですね。心がリフレッシュされる感じがします。そんな時間が特に好きだなと思った瞬間ってありますか？"
10:46:53,7,DEEP_DIVE,User,DISCLOSURE,0.76,"まあそうだね。いろいろストレスとかで疲れている時に、そうやって、まあ温かいコーヒーとか飲んで落ち着くのはすごいいいなって思って、好きだなって思いましたね。"
10:47:16,7,DEEP_DIVE,AI,,0.76,"なるほど、ストレスを感じている時に温かいコーヒーでほっと一息つく瞬間が特別なんですね。心と体がふっと軽くなるような感覚、大切な時間ですね！"
10:47:25,8,DEEP_DIVE,User,DISCLOSURE,0.89,"そうですね。大切な時間です。"
10:47:41,8,DEEP_DIVE,AI,,0.89,"本当にそうですね。その時間があるだけで、気持ちが整うことってありますよね。そんなリラックスの時間、これからも大切にしてくださいね！"
10:47:49,9,ENDING,User,NORMAL,0.84,"はい。大切にします。"
10:48:07,9,ENDING,AI,,0.84,"素敵ですね！そのお気持ちを大事にして、これからも心穏やかに過ごしてください。今日はお話ししてくださってありがとうございました。どうぞ良い一日をお過ごしください！"
