Timestamp,Turn,Phase,Speaker,ActionType,P_WantTalk,Text
16:32:07,0,SETUP,AI,,0.50,"こんにちは。たくさんお話しできたら嬉しいです！"
16:32:18,1,SETUP,User,NORMAL,0.37,"こんにちは"
16:32:19,1,INTRO,AI,,0.37,"こんにちは！今日はどんな気分ですか？"
16:32:34,2,INTRO,User,DISCLOSURE,0.86,"良い気分です"
16:32:39,2,SURROUNDINGS,AI,,0.86,"楽しそうな雰囲気ですね！ところで、この絵はカフェのようですが、何か気になったポイントはありますか？"
16:32:58,3,SURROUNDINGS,User,NORMAL,0.78,"特にないかな"
16:33:03,3,BRIDGE,AI,,0.78,"そうですか、特に気になるところはないんですね。この絵、少しレトロな雰囲気があって素敵ですね。カフェで過ごす時間は好きですか？"
16:33:25,4,BRIDGE,User,DISCLOSURE,0.97,"あんまり好きじゃないかな"
16:33:29,4,DEEP_DIVE,AI,,0.97,"なるほど、あまりカフェはお好みではないんですね。落ち着ける場所や好きな過ごし方は、どんな感じなんでしょう？"
16:33:48,5,DEEP_DIVE,User,NORMAL,0.96,"その話はしたくない"
16:33:52,5,DEEP_DIVE,AI,,0.96,"わかりました、お話したくないことは無理に聞きませんよ！他に気になることや話したいことがあれば教えてくださいね。"
16:34:11,6,DEEP_DIVE,User,NORMAL,0.82,"はい"
16:34:17,6,SURROUNDINGS,AI,,0.82,"この絵、カウンター席が印象的ですね。帽子をかぶった人がいるのがユニークです。どんな会話をしているのか気になりませんか？"
16:35:55,7,SURROUNDINGS,User,NORMAL,0.74,"確かに気になるかも"
16:36:04,7,BRIDGE,AI,,0.74,"このカフェの絵、シンプルですが会話が弾んでいそうですね！帽子をかぶった人がどんな話をしているのか想像すると面白いですよね。例えば、昔の思い出話とかしているのかもしれませんね。どう思いますか？"
16:36:58,8,BRIDGE,User,NORMAL,0.62,"確かに"
16:37:05,8,BRIDGE,AI,,0.62,"この絵、帽子をかぶった人が特に目立ちますね。彼は静かにタバコをくゆらせているようで、何か深い話でもしているのかもしれませんね。どんな会話が交わされていそうですか？"
16:37:36,9,BRIDGE,User,NORMAL,0.50,"わかんない"
16:37:46,9,BRIDGE,AI,,0.50,"この絵、独特な雰囲気がありますね。帽子をかぶった人が中心にいて、何かじっくり話している感じがします。他の人もそれぞれの時間を過ごしている様子ですね。どんな物語が広がっているんでしょうね？"
16:38:11,10,BRIDGE,User,NORMAL,0.37,"よくわかんないことを言うね"
16:38:18,10,BRIDGE,AI,,0.37,"この絵はシンプルだけど、雰囲気がありますね。カウンターの形がユニークで、帽子をかぶった人が何か考え事をしているように見えます。どんなストーリーを感じますか？"
